cause,n_pos,n_pos_events,pr_auc,base_rate,lift_over_base,brier,note
genuine_efficiency_gain,41,14,0.627485972413544,0.07564575645756458,8.2950584645888,0.044758677549143554,
spend_reduction_artifact,56,12,0.3028262031848072,0.1033210332103321,2.930925037967241,0.0893392086717719,
mix_shift_artifact,60,8,0.09816290432092595,0.11070110701107011,0.8867382356990311,0.11118297396566686,WEAK: at/near chance
survivorship_bias,28,12,0.9188847375636364,0.05166051660516605,17.786983134267533,0.010566746129032452,
external_demand_spike,53,7,0.35549191444502243,0.09778597785977859,3.6354078797962672,0.07981338870310989,
creative_refresh,27,13,0.5899051052909119,0.04981549815498155,11.84179878028423,0.030361054952565834,
